Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Fairbanks, AK
On 01 January 2016 at 1534 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 65 28.8N 145 24.0W, 83 miles northeast of Fairbanks, AK. The PLB was manually activated when a snowmobiler had an accident causing injury and needed assistance. The Alaska Rescue Coordination Center (AKRCC) received the SARSAT alert and contacted the U.S. Army 152nd Aviation Regiment. The Army dispatched a helicopter to the location and transported the snowmobiler to Fairbanks Memorial Hospital for treatment. 1 SARSAT RESCUE
",01/01/2016,PLB,M,PLB (Personal Locator Beacon),65.48,-145.4,1,"Home Port - Fairbanks, AK","On 01 January 2016 at 1534 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 65 28.8N 145 24.0W, 83 miles northeast of Fairbanks, AK. The PLB was manually activated when a snowmobiler had an accident causing injury and needed assistance. The Alaska Rescue Coordination Center (AKRCC) received the SARSAT alert and contacted the U.S. Army 152nd Aviation Regiment. The Army dispatched a helicopter to the location and transported the snowmobiler to Fairbanks Memorial Hospital for treatment. 1 SARSAT RESCUE"
"Home Port - Fairbanks, AK
On 02 January 2016 at 2140 UTC the COSPAS-SARSAT system detected a 406 MHz ELT at 68 04.5N 151 52.8W, in Anaktuvuk Pass, AK. The ELT was activated when an aircraft crashed with eight people on board. The Alaska Rescue Coordination Center received the SARSAT alert and contacted the registered operator of the plane, who confirmed that the aircraft was in flight. A rescue mission was carried out by civilian medevac services and the North Slope Borough Search and Rescue Department using the SARSAT position. All eight individuals in distress were recovered alive, with varying degrees of injury reported. 8 SARSAT RESCUES
",01/02/2016,ELT,M,"ELT (Emergency Locator Transponder, Aviation Applications)",68.075,-151.88,8,"Home Port - Fairbanks, AK","On 02 January 2016 at 2140 UTC the COSPAS-SARSAT system detected a 406 MHz ELT at 68 04.5N 151 52.8W, in Anaktuvuk Pass, AK. The ELT was activated when an aircraft crashed with eight people on board. The Alaska Rescue Coordination Center received the SARSAT alert and contacted the registered operator of the plane, who confirmed that the aircraft was in flight. A rescue mission was carried out by civilian medevac services and the North Slope Borough Search and Rescue Department using the SARSAT position. All eight individuals in distress were recovered alive, with varying degrees of injury reported. 8 SARSAT RESCUES"
"Home Port - Barrow, AK
On 07 January 2016 at 0413 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 71 07.98N 156 40.98W, 9 miles south of Barrow, AK. An individual activated his PLB when his snowmobile broke down. The Alaska Rescue Coordination Center received the SARSAT alert and contacted North Slope Borough, which rescued the stranded individual. 1 SARSAT RESCUE
",01/07/2016,PLB,T,PLB (Personal Locator Beacon),71.133,-156.683,1,"Home Port - Barrow, AK","On 07 January 2016 at 0413 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 71 07.98N 156 40.98W, 9 miles south of Barrow, AK. An individual activated his PLB when his snowmobile broke down. The Alaska Rescue Coordination Center received the SARSAT alert and contacted North Slope Borough, which rescued the stranded individual. 1 SARSAT RESCUE"
"Home Port - Skipperville, AL
On 12 January 2016 at 0032 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 22 57.1N 83 17.5W, 7 NM west of Bahía Honda, Cuba. The PLB was manually activated when a sailing vessel broke down and became stranded. Coast Guard District 7 (CGD07) received the alert and contacted the registered emergency contact, who informed them that the owner had departed Key West, FL, en route to Belize. CGD07 contacted the Cuban Boarder Guard, who reported that the vessel was towed into port. 1 SARSAT RESCUE",01/12/2016,PLB,T,PLB (Personal Locator Beacon),22.95166667,-83.29166667,1,"Home Port - Skipperville, AL","On 12 January 2016 at 0032 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 22 57.1N 83 17.5W, 7 NM west of Bahía Honda, Cuba. The PLB was manually activated when a sailing vessel broke down and became stranded. Coast Guard District 7 (CGD07) received the alert and contacted the registered emergency contact, who informed them that the owner had departed Key West, FL, en route to Belize. CGD07 contacted the Cuban Boarder Guard, who reported that the vessel was towed into port. 1 SARSAT RESCUE"
"Home Port - Anchorage, AK
On 13 January 2016 at 0917 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 38 45.6N 72 54.8W, about 86 NM east of Cape May, NJ. The PLB was manually activated by the crew of the fishing vessel GOLDEN NUGGETT when the vessel began taking on water. Coast Guard District 5 (CGD05) received the SARSAT alert and, using the PLB registration information, contacted the owner of the vessel. CGD05 was given a number that they could use to contact the ship directly. After confirming the distress, CGD05 diverted a CG cutter to the SARSAT location. The CG cutter located the GOLDEN NUGGETT and was able to escort the distressed vessel into Cape May for repairs. 5 SARSAT RESCUES
",01/13/2016,PLB,M,PLB (Personal Locator Beacon),38.76,-72.91333333,5,"Home Port - Anchorage, AK","On 13 January 2016 at 0917 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 38 45.6N 72 54.8W, about 86 NM east of Cape May, NJ. The PLB was manually activated by the crew of the fishing vessel GOLDEN NUGGETT when the vessel began taking on water. Coast Guard District 5 (CGD05) received the SARSAT alert and, using the PLB registration information, contacted the owner of the vessel. CGD05 was given a number that they could use to contact the ship directly. After confirming the distress, CGD05 diverted a CG cutter to the SARSAT location. The CG cutter located the GOLDEN NUGGETT and was able to escort the distressed vessel into Cape May for repairs. 5 SARSAT RESCUES"
"Home Port - Belgium
On 14 January 2016 at 1527 UTC the COSPAS-SARSAT system detected a 406 MHz EPIRB at 21 18.4N 080 09.4W, 66 NM southwest of Cuba. The EPIRB was manually activated when the sailing vessel Marmouz experienced engine problems. Coast Guard District 7 (CGD07) received the SARSAT alert and contacted the Aviation Rescue Coordination Center (ARCC) after contacting the Cuban Authorities, who informed CGD07 they did not have the ability to perform the rescue. The ARCC gave permission for CGD07 to launch an Air Station Clearwater (AIRCLR) HC-130 to fly over Cuba to respond and directed the AIRCLR HC-130 to establish communication with the vessel. CGD07 directed the vessel’s crew to keep the EPIRB active for tracking until Coast Guard Cutter Bear arrived on scene. The AIRCLR HC-130 broadcasted a Marine Assistance Request Broadcast while returning to base. CGD07 notified the Cuban Border Guard that a USCG vessel was inside Cuban Territorial waters, deployed their surface unit, established communications with the Marmouz, and towed the vessel to port. No injuries or illness to report. 2 SARSAT RESCUES
",01/14/2016,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",21.30666667,-80.15666667,2,Home Port - Belgium,"On 14 January 2016 at 1527 UTC the COSPAS-SARSAT system detected a 406 MHz EPIRB at 21 18.4N 080 09.4W, 66 NM southwest of Cuba. The EPIRB was manually activated when the sailing vessel Marmouz experienced engine problems. Coast Guard District 7 (CGD07) received the SARSAT alert and contacted the Aviation Rescue Coordination Center (ARCC) after contacting the Cuban Authorities, who informed CGD07 they did not have the ability to perform the rescue. The ARCC gave permission for CGD07 to launch an Air Station Clearwater (AIRCLR) HC-130 to fly over Cuba to respond and directed the AIRCLR HC-130 to establish communication with the vessel. CGD07 directed the vessel’s crew to keep the EPIRB active for tracking until Coast Guard Cutter Bear arrived on scene. The AIRCLR HC-130 broadcasted a Marine Assistance Request Broadcast while returning to base. CGD07 notified the Cuban Border Guard that a USCG vessel was inside Cuban Territorial waters, deployed their surface unit, established communications with the Marmouz, and towed the vessel to port. No injuries or illness to report. 2 SARSAT RESCUES"
"Home Port - Omaha, NE
On 16 January 2016 at 2249 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 39 24.2N 106 03.8W, approximately 5 miles south of Breckenridge, CO. The PLB was activated when a hiker became lost. The Air Force Rescue Coordination Center received the SARSAT alert and notified the Summit County, CO Sheriff's Office (SCSO) of the distress. The hiker was recovered by an SCSO rescue team and taken to a safe location. 1 SARSAT RESCUE
",01/16/2016,PLB,T,PLB (Personal Locator Beacon),39.40333333,-106.0633333,1,"Home Port - Omaha, NE","On 16 January 2016 at 2249 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 39 24.2N 106 03.8W, approximately 5 miles south of Breckenridge, CO. The PLB was activated when a hiker became lost. The Air Force Rescue Coordination Center received the SARSAT alert and notified the Summit County, CO Sheriff's Office (SCSO) of the distress. The hiker was recovered by an SCSO rescue team and taken to a safe location. 1 SARSAT RESCUE"
"Home Port - Vancouver, WA
On 17 January 2016 at 0402 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 45 19.1N 121 37.2W, near Mt. Hood, OR. The PLB was activated when an individual suffered a severely sprained ankle. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Oregon Joint Operations Center (ORJOC). The ORJOC dispatched Oregon State Police emergency responders to the location of the distress. The hiker was located and transported to a medical center for treatment. 1 SARSAT RESCUE
",01/17/2016,PLB,T,PLB (Personal Locator Beacon),45.31833333,-121.62,1,"Home Port - Vancouver, WA","On 17 January 2016 at 0402 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 45 19.1N 121 37.2W, near Mt. Hood, OR. The PLB was activated when an individual suffered a severely sprained ankle. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Oregon Joint Operations Center (ORJOC). The ORJOC dispatched Oregon State Police emergency responders to the location of the distress. The hiker was located and transported to a medical center for treatment. 1 SARSAT RESCUE"
"Home Port - Port Orford, OR
On 20 January 2016 at 0209 UTC the COSPAS-SARSAT system detected a 406 MHz EPIRB at 43 21.5N 124 19.9W, less than 1 NM northwest of Barview, OR. The EPIRB was activated when a fishing vessel lost power and capsized. Coast Guard District 13 received the SARSAT alert, issued an Urgent Marine Information Broadcast (UMIB) to all vessels, and launched assets to search for 2 missing crew members. The master of the vessel was able to self-recover with the assistance of a Good Samaritan who responded to the UMIB; a fourth crew member was reported as deceased. 1 SARSAT RESCUE
",01/20/2016,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",43.35833333,-124.3316667,1,"Home Port - Port Orford, OR","On 20 January 2016 at 0209 UTC the COSPAS-SARSAT system detected a 406 MHz EPIRB at 43 21.5N 124 19.9W, less than 1 NM northwest of Barview, OR. The EPIRB was activated when a fishing vessel lost power and capsized. Coast Guard District 13 received the SARSAT alert, issued an Urgent Marine Information Broadcast (UMIB) to all vessels, and launched assets to search for 2 missing crew members. The master of the vessel was able to self-recover with the assistance of a Good Samaritan who responded to the UMIB; a fourth crew member was reported as deceased. 1 SARSAT RESCUE"
"Home Port - Barrow, AK 
On 07 February 2016 at 0548 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 70 04.5N 159 55.98W, 34 NM south of Wainwright, AK. The PLB was activated when a snow machine experienced mechanical failure and the rider became stranded. The Alaska Rescue Coordination Center received the alert and contacted the North Slope Borough Search and Rescue, which dispatched a ground team from Wainwright to the SARSAT position and rescued the stranded individual. 1 SARSAT RESCUE
",02/07/2016,PLB,T,PLB (Personal Locator Beacon),70.075,-159.933,1,"Home Port - Barrow, AK ","On 07 February 2016 at 0548 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 70 04.5N 159 55.98W, 34 NM south of Wainwright, AK. The PLB was activated when a snow machine experienced mechanical failure and the rider became stranded. The Alaska Rescue Coordination Center received the alert and contacted the North Slope Borough Search and Rescue, which dispatched a ground team from Wainwright to the SARSAT position and rescued the stranded individual. 1 SARSAT RESCUE"
