Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Santa Clarita, CA
On 06 January 2018 at 2010 UTC (1510 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 34 29.0N 118 18.9W, 20 miles north of Los Angeles, CA. The PLB was activated by a hiker who fell and sustained a head injury. The Air Force Rescue Coordination Center received the SARSAT alert and notified the California Office of Emergency Services, which sent local first responders to SARSAT the position. The hiker was located and transported to a local hospital for medical attention. 
1 SARSAT RESCUE",01/06/2018,PLB,T,PLB (Personal Locator Beacon),34.48333333,-118.315,1,"Home Port - Santa Clarita, CA","On 06 January 2018 at 2010 UTC (1510 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 34 29.0N 118 18.9W, 20 miles north of Los Angeles, CA. The PLB was activated by a hiker who fell and sustained a head injury. The Air Force Rescue Coordination Center received the SARSAT alert and notified the California Office of Emergency Services, which sent local first responders to SARSAT the position. The hiker was located and transported to a local hospital for medical attention. "
"Home Port - Auburn, CA
On 14 January 2018 at 0611 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 39 19.5N 120 25.0W, in the Tahoe National Forest, CA. The PLB was activated when 4 hikers became stranded. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the California Office of Emergency Services, which deployed a helicopter to the SARSAT location. The helicopter arrived on scene, hoisted the hikers, and transported them to safety. 
4 SARSAT RESCUES",01/14/2018,PLB,T,PLB (Personal Locator Beacon),39.325,-120.4166667,4,"Home Port - Auburn, CA","On 14 January 2018 at 0611 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 39 19.5N 120 25.0W, in the Tahoe National Forest, CA. The PLB was activated when 4 hikers became stranded. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the California Office of Emergency Services, which deployed a helicopter to the SARSAT location. The helicopter arrived on scene, hoisted the hikers, and transported them to safety. "
"Home Port - Barrow, AK
On 19 January 2018 at 0530 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 70 54.6N 153 41.1W, 50 miles southeast of Barrow, AK. The beacon was activated when a truck broke down leaving two people stranded. The Alaska Rescue Coordination Center received the SARSAT alert and notified the North Slope Borough Search and Rescue (NSBSAR). NSBSAR launched a helicopter to the SARSAT position, picked up the two people, and returned them to Barrow, AK. 
2 SARSAT RESCUES",01/19/2018,PLB,T,PLB (Personal Locator Beacon),70.91,-153.685,2,"Home Port - Barrow, AK","On 19 January 2018 at 0530 UTC the COSPAS-SARSAT system detected a 406 MHz PLB at 70 54.6N 153 41.1W, 50 miles southeast of Barrow, AK. The beacon was activated when a truck broke down leaving two people stranded. The Alaska Rescue Coordination Center received the SARSAT alert and notified the North Slope Borough Search and Rescue (NSBSAR). NSBSAR launched a helicopter to the SARSAT position, picked up the two people, and returned them to Barrow, AK. "
"Home Port - Seattle, WA
On 26 January 2018 at 1745 UTC (1245 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 55 41.7N 164 13.0W, approximately 70 NM northwest of Cold Bay, AK. The beacon was manually activated when the fishing vessel PROGRESS, with 5 persons on board, was disabled after being hit by a large wave. Coast Guard District 17 (CGD17) received the SARSAT alert, and issued an Urgent Marine Information Broadcast (UMIB). Good Samaritan vessels OCEAN ROVER and PATRICIA L responded to the UMIB and escorted the PROGRESS to Akutan, AK. 
5 SARSAT RESCUES",01/26/2018,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",55.695,-164.2166667,5,"Home Port - Seattle, WA","On 26 January 2018 at 1745 UTC (1245 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 55 41.7N 164 13.0W, approximately 70 NM northwest of Cold Bay, AK. The beacon was manually activated when the fishing vessel PROGRESS, with 5 persons on board, was disabled after being hit by a large wave. Coast Guard District 17 (CGD17) received the SARSAT alert, and issued an Urgent Marine Information Broadcast (UMIB). Good Samaritan vessels OCEAN ROVER and PATRICIA L responded to the UMIB and escorted the PROGRESS to Akutan, AK. "
"Home Port - Pacoima, CA
On 01 February 2018 at 1719 UTC (1219 EST) the COSPAS-SARSAT system detected a 406 MHz ELT at 34 20.35N 117 40.41W, 29 miles northeast of Pasadena, CA. The beacon was automatically activated when a helicopter, with 3 persons aboard, crashed after experiencing engine failure. The Air Force Rescue Coordination Center received the SARSAT alert and notified the California Office of Emergency Management (CA OEM). CA OEM contacted local authorities, who dispatched emergency personnel to the SARSAT position. The 3 uninjured persons were located and transported to safety. 
3 SARSAT RESCUES",02/01/2018,ELT,A,"ELT (Emergency Locator Transponder, Aviation Applications)",34.33916667,-117.6735,3,"Home Port - Pacoima, CA","On 01 February 2018 at 1719 UTC (1219 EST) the COSPAS-SARSAT system detected a 406 MHz ELT at 34 20.35N 117 40.41W, 29 miles northeast of Pasadena, CA. The beacon was automatically activated when a helicopter, with 3 persons aboard, crashed after experiencing engine failure. The Air Force Rescue Coordination Center received the SARSAT alert and notified the California Office of Emergency Management (CA OEM). CA OEM contacted local authorities, who dispatched emergency personnel to the SARSAT position. The 3 uninjured persons were located and transported to safety. "
"Home Port - Grand Canyon, AZ
On 11 February 2018 at 0025 UTC (1925 EST) the COSPAS-SARSAT system detected a 406 MHz ELT at 36 00.00N 113 45.00W, in Grand Canyon National Park, AZ. The ELT was automatically activated when a helicopter, with 7 people on board, crashed after experiencing engine failure. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the owner, who contacted the FAA. The FAA contacted the Grand Canyon Park Police, which dispatched emergency personnel to the SARSAT location. Three persons on board were transported to a hospital; the 4 other passengers succumbed to their injuries. 
3 SARSAT RESCUES",02/11/2018,ELT,A,"ELT (Emergency Locator Transponder, Aviation Applications)",36,-113.75,3,"Home Port - Grand Canyon, AZ","On 11 February 2018 at 0025 UTC (1925 EST) the COSPAS-SARSAT system detected a 406 MHz ELT at 36 00.00N 113 45.00W, in Grand Canyon National Park, AZ. The ELT was automatically activated when a helicopter, with 7 people on board, crashed after experiencing engine failure. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the owner, who contacted the FAA. The FAA contacted the Grand Canyon Park Police, which dispatched emergency personnel to the SARSAT location. Three persons on board were transported to a hospital; the 4 other passengers succumbed to their injuries. "
"Home Port - Barrow, AK
On 12 February 2018 at 1343 UTC (0843 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 70 50.4N 154 35.7W, approximately 54 miles southeast of Barrow, AK. The PLB was activated when the owner's vehicle, with 3 people on board, broke down due to mechanical issues during a snow storm. The Alaska Rescue Coordination Center received the SARSAT alert and notified the North Slope Borough Search and Rescue, which provided assistance and transported all 3 home safely. 
3 SARSAT RESCUES",02/12/2018,PLB,T,PLB (Personal Locator Beacon),70.84,-154.595,3,"Home Port - Barrow, AK","On 12 February 2018 at 1343 UTC (0843 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 70 50.4N 154 35.7W, approximately 54 miles southeast of Barrow, AK. The PLB was activated when the owner's vehicle, with 3 people on board, broke down due to mechanical issues during a snow storm. The Alaska Rescue Coordination Center received the SARSAT alert and notified the North Slope Borough Search and Rescue, which provided assistance and transported all 3 home safely. "
"Home Port - Pensacola, FL
On 14 February 2018 at 1120 UTC (0620 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 29 25.0N 085 57.9W, 45 NM southwest of Panama City, FL. The beacon was manually activated when the 70-foot sailing vessel TRIPLE CROWN, with 2 persons on board, became disabled. Coast Guard District 8 (CGD08) received the SARSAT alert and directed Sector Mobile (SECMOB) to issue a Safety Net. SECMOB received radio distress calls from the TRIPLE CROWN, but was unable to establish communication with the vessel. CGD08 launched an HC-144 fixed-wing aircraft to the SARSAT position and located the disabled vessel. SECMOB coordinated a tow service to the scene, which escorted the TRIPLE CROWN to the Bay Point Marina in Panama City with no report of injuries. 
2 SARSAT RESCUES",02/14/2018,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",29.41666667,-85.965,2,"Home Port - Pensacola, FL","On 14 February 2018 at 1120 UTC (0620 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 29 25.0N 085 57.9W, 45 NM southwest of Panama City, FL. The beacon was manually activated when the 70-foot sailing vessel TRIPLE CROWN, with 2 persons on board, became disabled. Coast Guard District 8 (CGD08) received the SARSAT alert and directed Sector Mobile (SECMOB) to issue a Safety Net. SECMOB received radio distress calls from the TRIPLE CROWN, but was unable to establish communication with the vessel. CGD08 launched an HC-144 fixed-wing aircraft to the SARSAT position and located the disabled vessel. SECMOB coordinated a tow service to the scene, which escorted the TRIPLE CROWN to the Bay Point Marina in Panama City with no report of injuries. "
"Home Port - Honolulu, HI
On 14 February 2018 at 2252 UTC (1752 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 20 06.0N 155 27.9W, 1 NM northwest of Paauhau, HI. The beacon was manually activated when the 29-foot sailing vessel GYPSY DANCER, with 1 person on board, became disabled. Prior to Coast Guard District 14 (CGD14) receiving the SARSAT alert, Sector Honolulu was notified by Hawaii County Dispatch (HCD) that the GYPSY DANCER had been reported as overdue on a trip from Honolulu and Hilo. HCD launched a helicopter and located the vessel near the shoreline. CGD14 established communication with GYPSY DANCER and confirmed via the on-scene HCD helicopter that the vessel required towing assistance. Honolulu County Fire Department launched a surface response vessel, which met up with the GYPSY DANCER and provided a tow to Hilo with no report of injury. 
1 SARSAT RESCUE",02/14/2018,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",20.1,-155.465,1,"Home Port - Honolulu, HI","On 14 February 2018 at 2252 UTC (1752 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 20 06.0N 155 27.9W, 1 NM northwest of Paauhau, HI. The beacon was manually activated when the 29-foot sailing vessel GYPSY DANCER, with 1 person on board, became disabled. Prior to Coast Guard District 14 (CGD14) receiving the SARSAT alert, Sector Honolulu was notified by Hawaii County Dispatch (HCD) that the GYPSY DANCER had been reported as overdue on a trip from Honolulu and Hilo. HCD launched a helicopter and located the vessel near the shoreline. CGD14 established communication with GYPSY DANCER and confirmed via the on-scene HCD helicopter that the vessel required towing assistance. Honolulu County Fire Department launched a surface response vessel, which met up with the GYPSY DANCER and provided a tow to Hilo with no report of injury. "
"Home Port - Palmer, AK
On 15 February 2018 at 2244 UTC (1744 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 61 49.2N 149 14.1W, 50 miles northeast of Anchorage, AK. The PLB was activated by a snowmobiler who injured his leg. The Alaska Rescue Coordination Center received the SARSAT alert and notified Alaska State Troopers, who deployed a ground team to the scene. The injured snowmobiler was transported to a local hospital for medical assistance.
1 SARSAT RESCUE",02/15/2018,PLB,T,PLB (Personal Locator Beacon),61.82,-149.235,1,"Home Port - Palmer, AK","On 15 February 2018 at 2244 UTC (1744 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 61 49.2N 149 14.1W, 50 miles northeast of Anchorage, AK. The PLB was activated by a snowmobiler who injured his leg. The Alaska Rescue Coordination Center received the SARSAT alert and notified Alaska State Troopers, who deployed a ground team to the scene. The injured snowmobiler was transported to a local hospital for medical assistance."
