Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Seabrook, TX
On 02 January 2020 at 0810 UTC (0310 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 44.6N 92 55.1W, 230 NM miles southeast of Galveston, TX. It was activated when the sailing vessel RHAPSODY, with 2 people on board, experienced an engine fire. Coast Guard District 8 received the alert, issued a SafetyNET broadcast, and launched a rescue aircraft from Sector Corpus Christi and a helicopter from Sector Houston-Galveston. The motor tanker SAHARA GAS was diverted to the location, but was unable to lower its rescue boat; it remained on scene until the helicopter hoisted the 2 sailors and transported them to Air Station Houston for emergency medical treatment. 
2 SARSAT RESCUES
",01/02/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",25.74333333,-92.91833333,2,"Home Port - Seabrook, TX","On 02 January 2020 at 0810 UTC (0310 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 44.6N 92 55.1W, 230 NM miles southeast of Galveston, TX. It was activated when the sailing vessel RHAPSODY, with 2 people on board, experienced an engine fire. Coast Guard District 8 received the alert, issued a SafetyNET broadcast, and launched a rescue aircraft from Sector Corpus Christi and a helicopter from Sector Houston-Galveston. The motor tanker SAHARA GAS was diverted to the location, but was unable to lower its rescue boat; it remained on scene until the helicopter hoisted the 2 sailors and transported them to Air Station Houston for emergency medical treatment. "
"Home Port - Anchorage, AK
On 04 January 2020 at 0911 UTC (0411 EST) a Personal Locator Beacon (PLB) was detected at 61 34.5N 151 16.9W, 22 miles northwest of Susitna, AK. It was activated when an aircraft, with 1 person on board, became stuck in the snow. The Alaska Rescue Coordination Center received the alert and notified the Alaska Air National Guard, which launched a helicopter to the scene. The pilot was flown to a nearby hospital for treatment. 
1 SARSAT RESCUE
",01/04/2020,PLB,A,PLB (Personal Locator Beacon),61.575,-151.2816667,1,"Home Port - Anchorage, AK","On 04 January 2020 at 0911 UTC (0411 EST) a Personal Locator Beacon (PLB) was detected at 61 34.5N 151 16.9W, 22 miles northwest of Susitna, AK. It was activated when an aircraft, with 1 person on board, became stuck in the snow. The Alaska Rescue Coordination Center received the alert and notified the Alaska Air National Guard, which launched a helicopter to the scene. The pilot was flown to a nearby hospital for treatment. "
"Home Port - Engelhard, NC
On 08 January 2020 at 0003 UTC (1903 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 35 31.1N 75 52.8W, 5 NM northeast of Engelhard, NC. It was manually activated when the fishing vessel PAPA'S GIRL sank, forcing its 4 passengers into the water. Coast Guard District 05 (CGD05) received the alert and confirmed the distress with the beacon owner's wife, who reported that the vessel was returning to home port. CGD05 launched a rescue boat from Sector Hatteras and a helicopter from Air Station Elizabeth City. The helicopter arrived on scene and located 1 person in a life raft, who reported that the other 3 people were in the water without life vests. One of the 3 was found unresponsive and airlifted with the life raft survivor to Sentara Albermarle Hospital in Elizabeth City, NC. The search for the remaining passengers has since been suspended. 
2 SARSAT RESCUES
",01/08/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",35.51833333,-75.88,2,"Home Port - Engelhard, NC","On 08 January 2020 at 0003 UTC (1903 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 35 31.1N 75 52.8W, 5 NM northeast of Engelhard, NC. It was manually activated when the fishing vessel PAPA'S GIRL sank, forcing its 4 passengers into the water. Coast Guard District 05 (CGD05) received the alert and confirmed the distress with the beacon owner's wife, who reported that the vessel was returning to home port. CGD05 launched a rescue boat from Sector Hatteras and a helicopter from Air Station Elizabeth City. The helicopter arrived on scene and located 1 person in a life raft, who reported that the other 3 people were in the water without life vests. One of the 3 was found unresponsive and airlifted with the life raft survivor to Sentara Albermarle Hospital in Elizabeth City, NC. The search for the remaining passengers has since been suspended. "
"Home Port - Bahamas
On 09 January 2020 at 2322 UTC (1822 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 05.7N 77 59.2W, 5 NM northeast of North Andros Island, Bahamas. It was activated when the 62-ft. commercial tugboat GULF MAN, with 3 people on board, began taking on water. Coast Guard District 7 (CGD07) received the alert and contacted the owner, who confirmed the incident. CGD07 launched a helicopter to the location that hoisted the 3 uninjured crew members and safely transported them to Nassau, Bahamas. 
3 SARSAT RESCUES
",01/09/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",25.095,-77.98666667,3,Home Port - Bahamas,"On 09 January 2020 at 2322 UTC (1822 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 05.7N 77 59.2W, 5 NM northeast of North Andros Island, Bahamas. It was activated when the 62-ft. commercial tugboat GULF MAN, with 3 people on board, began taking on water. Coast Guard District 7 (CGD07) received the alert and contacted the owner, who confirmed the incident. CGD07 launched a helicopter to the location that hoisted the 3 uninjured crew members and safely transported them to Nassau, Bahamas. "
"Home Port - Steamboat Springs, CO
On 20 January 2020 at 0546 UTC (0046 EST) a Personal Locator Beacon (PLB) was detected at 40 29.0N 106 43.0W, 5 miles east of Steamboat Springs, CO in the Medicine Bow-Routt National Forest. It was activated when an all-terrain vehicle, with 2 people on board, got stuck in the snow. The Air Force Rescue Coordination Center received the alert and contacted the Colorado Search and Rescue Board, which deployed a ground team to the scene. The ground team pulled the vehicle free and the riders continued on their journey. 
2 SARSAT RESCUES
",01/20/2020,PLB,T,PLB (Personal Locator Beacon),40.48333333,-106.7166667,2,"Home Port - Steamboat Springs, CO","On 20 January 2020 at 0546 UTC (0046 EST) a Personal Locator Beacon (PLB) was detected at 40 29.0N 106 43.0W, 5 miles east of Steamboat Springs, CO in the Medicine Bow-Routt National Forest. It was activated when an all-terrain vehicle, with 2 people on board, got stuck in the snow. The Air Force Rescue Coordination Center received the alert and contacted the Colorado Search and Rescue Board, which deployed a ground team to the scene. The ground team pulled the vehicle free and the riders continued on their journey. "
"Home Port - Middleton, WI
On 27 January 2020 at 2225 UTC (1725 EST) an Emergency Locator Transmitter (ELT) was detected at 39 16.1N 106 48.2W, 3 miles northwest of Lenado, CO. It was activated when an aircraft, with 2 people on board, experienced an equipment malfunction in inclement weather, forcing it to deploy its parachute and crash-land. The Air Force Rescue Coordination Center received the alert simultaneously with a Federal Aviation Administration report regarding the distress. Mountain Rescue Aspen and the Pitkin County Sheriff's Department sent ground teams to the scene and escorted the 2 uninjured passengers to safety. 
2 SARSAT RESCUES
",01/27/2020,ELT,A,"ELT (Emergency Locator Transmitter, Aviation Applications)",39.26833333,-106.8033333,2,"Home Port - Middleton, WI","On 27 January 2020 at 2225 UTC (1725 EST) an Emergency Locator Transmitter (ELT) was detected at 39 16.1N 106 48.2W, 3 miles northwest of Lenado, CO. It was activated when an aircraft, with 2 people on board, experienced an equipment malfunction in inclement weather, forcing it to deploy its parachute and crash-land. The Air Force Rescue Coordination Center received the alert simultaneously with a Federal Aviation Administration report regarding the distress. Mountain Rescue Aspen and the Pitkin County Sheriff's Department sent ground teams to the scene and escorted the 2 uninjured passengers to safety. "
"Home Port - Los Angeles, CA
On 01 February 2020 at 1721 UTC (1221 EST) a Personal Locator Beacon (PLB) was detected at 34 05.2N 116 49.1W, 25 miles east of San Bernardino, CA. It was activated by a hiker who sustained an arm injury. The Air Force Rescue Coordination Center received the alert and notified the California Office of Emergency Services, which sent local authorities to the position. The hiker was located and transported to a nearby medical facility for treatment. 
1 SARSAT RESCUE
",02/01/2020,PLB,T,PLB (Personal Locator Beacon),34.08666667,-116.8183333,1,"Home Port - Los Angeles, CA","On 01 February 2020 at 1721 UTC (1221 EST) a Personal Locator Beacon (PLB) was detected at 34 05.2N 116 49.1W, 25 miles east of San Bernardino, CA. It was activated by a hiker who sustained an arm injury. The Air Force Rescue Coordination Center received the alert and notified the California Office of Emergency Services, which sent local authorities to the position. The hiker was located and transported to a nearby medical facility for treatment. "
"Home Port - Salida, CO 
On 07 February 2020 at 0447 UTC (2347 EST) a Personal Locator Beacon (PLB) was detected at 38 29.0N 106 23.1W, 20 miles southwest of Salida, CO in the Gunnison National Forest. It was activated when a hiker got lost on a mountain. The Air Force Rescue Coordination Center received the alert and notified the Colorado Search and Rescue Board, which located the hiker and transported him to safety. 
1 SARSAT RESCUE 
",02/07/2020,PLB,T,PLB (Personal Locator Beacon),38.48333333,-106.385,1,"Home Port - Salida, CO ","On 07 February 2020 at 0447 UTC (2347 EST) a Personal Locator Beacon (PLB) was detected at 38 29.0N 106 23.1W, 20 miles southwest of Salida, CO in the Gunnison National Forest. It was activated when a hiker got lost on a mountain. The Air Force Rescue Coordination Center received the alert and notified the Colorado Search and Rescue Board, which located the hiker and transported him to safety. "
"Home Port - Montauk, NY 
On 12 February 2020 at 0950 UTC (0450 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 40 16.0N 73 16.0W, 22 NM southwest of Fire Island, NY. It was manually activated when the fishing vessel NEW AGE, with 3 people on board, began taking on water. Prior to Coast Guard District 01 (CGD1) receiving the alert, Sector Long Island Sound received a call via VHF reporting the situation and advised the NEW AGE crew to activate their EPIRB. Station Sandy Hook launched a rescue boat, CGD1 launched a rescue aircraft, and SLIS issued an Urgent Marine Information Broadcast. The assets arrived on scene, hoisted 1 crew member from the water, and transported him to a nearby hospital for treatment. The other 2 crew members were transported to Fire Island with no injuries. 
3 SARSAT RESCUES 
",02/12/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",40.26666667,-73.26666667,3,"Home Port - Montauk, NY ","On 12 February 2020 at 0950 UTC (0450 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 40 16.0N 73 16.0W, 22 NM southwest of Fire Island, NY. It was manually activated when the fishing vessel NEW AGE, with 3 people on board, began taking on water. Prior to Coast Guard District 01 (CGD1) receiving the alert, Sector Long Island Sound received a call via VHF reporting the situation and advised the NEW AGE crew to activate their EPIRB. Station Sandy Hook launched a rescue boat, CGD1 launched a rescue aircraft, and SLIS issued an Urgent Marine Information Broadcast. The assets arrived on scene, hoisted 1 crew member from the water, and transported him to a nearby hospital for treatment. The other 2 crew members were transported to Fire Island with no injuries. "
"Home Port - Boynton Beach, FL 
On 12 February 2020 at 2249 UTC (1749 EST) a Personal Locator Beacon (PLB) was detected at 26 40.1N 79 16.5W, 16 NM west of West End, Grand Bahama Island, Bahamas. It was activated after a vessel, with 1 person on board, became disabled. Coast Guard District 7 received the alert, launched a helicopter from Air Station Miami, and diverted Coast Guard Cutter (CGC) RICHARD ETHERIDGE to the scene. The CGC arrived and confirmed that no medical assistance was necessary. Commercial salvage arrived to tow the vessel to Lake Worth Inlet, FL. 
1 SARSAT RESCUE 
",02/12/2020,PLB,M,PLB (Personal Locator Beacon),26.66833333,-79.275,1,"Home Port - Boynton Beach, FL ","On 12 February 2020 at 2249 UTC (1749 EST) a Personal Locator Beacon (PLB) was detected at 26 40.1N 79 16.5W, 16 NM west of West End, Grand Bahama Island, Bahamas. It was activated after a vessel, with 1 person on board, became disabled. Coast Guard District 7 received the alert, launched a helicopter from Air Station Miami, and diverted Coast Guard Cutter (CGC) RICHARD ETHERIDGE to the scene. The CGC arrived and confirmed that no medical assistance was necessary. Commercial salvage arrived to tow the vessel to Lake Worth Inlet, FL. "
